id,title,course,contributor,current_tier,target_tier,current_path,target_path,size_bytes,reason,action
ibms1-hal-2021-2022,IBMS1 Hal Materials,IBMS1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/IBMS1/Hal/ibms1_hal_2021_2022,LARGE_ARCHIVES/COURSES/Year1/IBMS1/Hal/ibms1_hal_2021_2022,1006534576,contains .one,none
ibms3-hal-2023-2024,IBMS3 Hal Materials,IBMS3,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/IBMS3/Hal/ibms3_hal_2023_2024,LARGE_ARCHIVES/COURSES/Year3/IBMS3/Hal/ibms3_hal_2023_2024,2077402376,contains .one,none
ibms4-hal-2024-2025,IBMS4 Hal Materials,IBMS4,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year4/IBMS4/Hal/ibms4_hal_2024_2025,LARGE_ARCHIVES/COURSES/Year4/IBMS4/Hal/ibms4_hal_2024_2025,1583842432,contains .one,none
icmb1-hal-2021-2022,ICMB1 Hal Materials,ICMB1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/ICMB1/Hal/icmb1_hal_2021_2022,LARGE_ARCHIVES/COURSES/Year1/ICMB1/Hal/icmb1_hal_2021_2022,523841744,contains .one,none
ifbs2-hal-2022-2023,IFBS2 Hal Materials,IFBS2,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Hal/ifbs2_hal_2022_2023,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Hal/ifbs2_hal_2022_2023,966817072,contains .one,none
iid4-hal-2024-2025,IID_4 Hal Materials,IID_4,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year4/IID_4/Hal/iid4_hal_2024_2025,LARGE_ARCHIVES/COURSES/Year4/IID_4/Hal/iid4_hal_2024_2025,1705651264,contains .one,none
math1-hal-calculus-2021-2022,MATH1 Calculus Materials,MATH1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_calculus_2021_2022,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_calculus_2021_2022,192191072,contains .one,none
math1-hal-statistics-2021-2022,MATH1 Statistics Materials,MATH1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_statistics_2021_2022,LARGE_ARCHIVES/COURSES/Year1/MATH1/Hal/math1_hal_statistics_2021_2022,166626144,contains .one,none
mbe3-hal-2023-2024,MBE3 Hal Materials,MBE3,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/MBE3/Hal/mbe3_hal_2023_2024,LARGE_ARCHIVES/COURSES/Year3/MBE3/Hal/mbe3_hal_2023_2024,1261769864,contains .one,none
pon3-hal-2023-2024,PoN3 Hal Materials,PoN3,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/PoN3/Hal/pon3_hal_2023_2024,LARGE_ARCHIVES/COURSES/Year3/PoN3/Hal/pon3_hal_2023_2024,491465216,contains .one,none
zip-bg-maps-xiaoran-etal,BG导图合集_lxrwyqlxf,BG2,Xiaoran_etal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/BG2/Xiaoran_etal/BG导图合集_lxrwyqlxf,LARGE_ARCHIVES/COURSES/Year2/BG2/Xiaoran_etal/BG导图合集_lxrwyqlxf,243890279,size >= 104857600 bytes,none
zip-ifbs-mindmap-xiaoran-etal,思维导图IFBS_lxr,IFBS2,Xiaoran_etal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Xiaoran_etal/思维导图IFBS_lxr,LARGE_ARCHIVES/COURSES/Year2/IFBS2/Xiaoran_etal/思维导图IFBS_lxr,327286834,size >= 104857600 bytes,none
zip-in-lxfwyqlxr,IN_lxfwyqlxr,IN3_full,Xiaoran_etal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/IN3_full/Xiaoran_etal/IN_lxfwyqlxr,LARGE_ARCHIVES/COURSES/Year3/IN3_full/Xiaoran_etal/IN_lxfwyqlxr,164045489,size >= 104857600 bytes,none
zip-mbe-lxrwyalxf,MBE_lxrwyalxf,MBE3,Xiaoran_etal,core,core,COURSES/Year3/MBE3/Xiaoran_etal/MBE_lxrwyalxf,COURSES/Year3/MBE3/Xiaoran_etal/MBE_lxrwyalxf,9325232,below large threshold,none
zip-pon-review-lxrwyqlxf,pon复习资料_lxrwyqlxf,PoN3,Xiaoran_etal,core,core,COURSES/Year3/PoN3/Xiaoran_etal/pon复习资料_lxrwyqlxf,COURSES/Year3/PoN3/Xiaoran_etal/pon复习资料_lxrwyqlxf,83898196,below large threshold,none
zip-ifbs-theme34-yue,IFBS2 Yue Theme 3-4 Notes,IFBS2,Yue,core,core,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4,COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4,21912825,below large threshold,none
zip-pon-yue,PoN3 Yue Notes,PoN3,Yue,core,core,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes,COURSES/Year3/PoN3/Yue/PoN3_Yue_notes,7360373,below large threshold,none
zip-bg2-sum-yiru,BG2 Yiru Summary,BG2,Yiru,core,core,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary,2905610,below large threshold,none
zip-code-cheatsheet-yiru,Code Cheatsheet Yiru Collection,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection,25683970,below large threshold,none
zip-gp2-sum-yiru,GP2 Yiru Summary,GP2,Yiru,core,core,COURSES/Year2/GP2/Yiru/GP2_Yiru_summary,COURSES/Year2/GP2/Yiru/GP2_Yiru_summary,11010427,below large threshold,none
zip-ibms3-full-yiru,IBMS3 Yiru Full Notes,IBMS3,Yiru,core,core,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes,3758445,below large threshold,none
zip-iid4-full-yiru,IID4 Yiru Full Notes,IID_4,Yiru,core,core,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes,COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes,92634283,below large threshold,none
zip-mbe3-sum-yiru,MBE3 Yiru Summary,MBE3,Yiru,core,core,COURSES/Year3/MBE3/Yiru/MBE3_Yiru_summary,COURSES/Year3/MBE3/Yiru/MBE3_Yiru_summary,102152,below large threshold,none
zip-pon3-full-yiru,PoN3 Yiru Full Notes,PoN3,Yiru,core,core,COURSES/Year3/PoN3/Yiru/PoN3_Yiru_full_notes,COURSES/Year3/PoN3/Yiru/PoN3_Yiru_full_notes,103463,below large threshold,none
bg2-yiru-collection-of-disease-83195e15,BG2 Yiru Disease Collection.pdf,BG2,Yiru,core,core,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_disease_collection.pdf,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_disease_collection.pdf,279805,below large threshold,none
bg2-yiru-collection-of-technology-6df3a98f,BG2 Yiru Technology Collection.pdf,BG2,Yiru,core,core,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_technology_collection.pdf,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_technology_collection.pdf,1841122,below large threshold,none
bg2-yiru-calculation-c4ec76cf,BG2 Yiru Calculations.pdf,BG2,Yiru,core,core,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_calculations.pdf,COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_calculations.pdf,784567,below large threshold,none
bao2-yue-bao-b4a4d26a,BaO2 Yue Incomplete Notes.pdf,BaO2,Yue,core,core,COURSES/Year2/BaO2/Yue/BaO2_Yue_incomplete_notes.pdf,COURSES/Year2/BaO2/Yue/BaO2_Yue_incomplete_notes.pdf,4777641,below large threshold,none
code-cheatsheet-yiru-java-sum-yiru-d19faa4c,Code Cheatsheet Yiru Java Summary.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_summary.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_summary.pdf,1270920,below large threshold,none
code-cheatsheet-yiru-r-etc-z-library-b26e5231,Code Cheatsheet Yiru R Data Science Z-Library.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_R_data_science_Z-Library.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_R_data_science_Z-Library.pdf,21563938,below large threshold,none
code-cheatsheet-yiru-sql-cheat-sheet-02d7f2aa,Code Cheatsheet Yiru SQL Cheat Sheet.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_SQL_cheat_sheet.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_SQL_cheat_sheet.pdf,230259,below large threshold,none
code-cheatsheet-yiru-base-r-cheat-sheet-550428b5,Code Cheatsheet Yiru Base R Cheat Sheet.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Base_R_cheat_sheet.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Base_R_cheat_sheet.pdf,205939,below large threshold,none
code-cheatsheet-yiru-data-visualization-4c76c19d,Code Cheatsheet Yiru Data Visualization.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Data_visualization.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Data_visualization.pdf,1949514,below large threshold,none
code-cheatsheet-yiru-java-cheat-sheet-comprehensive-guide-a8c2150f,Code Cheatsheet Yiru Java Comprehensive Guide.pdf,Code_Cheatsheet,Yiru,core,core,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_cheat_sheet_comprehensive_guide.pdf,COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_cheat_sheet_comprehensive_guide.pdf,463400,below large threshold,none
gp2-yiru-gp-526d301a,GP2 Yiru Outline.pdf,GP2,Yiru,core,core,COURSES/Year2/GP2/Yiru/GP2_Yiru_summary/GP2_Yiru_outline.pdf,COURSES/Year2/GP2/Yiru/GP2_Yiru_summary/GP2_Yiru_outline.pdf,11010311,below large threshold,none
ibms3-xiaoran-etal-ibms3-lxrjshtp-32737026,IBMS3答题思路_lxrjshtp.docx,IBMS3,Xiaoran_etal,core,core,COURSES/Year3/IBMS3/Xiaoran_etal/IBMS3答题思路_lxrjshtp.docx,COURSES/Year3/IBMS3/Xiaoran_etal/IBMS3答题思路_lxrjshtp.docx,20396,below large threshold,none
ibms3-yiru-experimental-design-ethics-ad7c5ce0,IBMS3 Yiru Experimental Design and Ethics.pdf,IBMS3,Yiru,core,core,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_design_and_ethics.pdf,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_design_and_ethics.pdf,1670751,below large threshold,none
ibms3-yiru-ibms-dry-lab-85f0f986,IBMS3 Yiru Dry Lab Answer Summary.pdf,IBMS3,Yiru,core,core,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_dry_lab_answer_summary.pdf,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_dry_lab_answer_summary.pdf,82371,below large threshold,none
ibms3-yiru-ibms-wet-lab-c2d0e5b2,IBMS3 Yiru Wet Lab Answer Summary.pdf,IBMS3,Yiru,core,core,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_wet_lab_answer_summary.pdf,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_wet_lab_answer_summary.pdf,504701,below large threshold,none
ibms3-yiru-resource-c3cddfc6,IBMS3 Yiru Experimental Methods Quick Reference.pdf,IBMS3,Yiru,core,core,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_methods_quick_reference.pdf,COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_methods_quick_reference.pdf,401002,below large threshold,none
