id,title,course,contributor,resource_type,release_tier,public_url_status,public_url,github_url,onedrive_url
bg2-yiru-collection-of-disease-83195e15,BG2 Yiru Disease Collection.pdf,BG2,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_disease_collection.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_disease_collection.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
bg2-yiru-collection-of-technology-6df3a98f,BG2 Yiru Technology Collection.pdf,BG2,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_technology_collection.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_technology_collection.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
bg2-yiru-calculation-c4ec76cf,BG2 Yiru Calculations.pdf,BG2,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_calculations.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary/BG2_Yiru_calculations.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
bao2-yue-bao-b4a4d26a,BaO2 Yue Incomplete Notes.pdf,BaO2,Yue,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BaO2/Yue/BaO2_Yue_incomplete_notes.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/BaO2/Yue/BaO2_Yue_incomplete_notes.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
code-cheatsheet-yiru-java-sum-yiru-d19faa4c,Code Cheatsheet Yiru Java Summary.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_summary.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_summary.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
code-cheatsheet-yiru-r-etc-z-library-b26e5231,Code Cheatsheet Yiru R Data Science Z-Library.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_R_data_science_Z-Library.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_R_data_science_Z-Library.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
code-cheatsheet-yiru-sql-cheat-sheet-02d7f2aa,Code Cheatsheet Yiru SQL Cheat Sheet.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_SQL_cheat_sheet.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_SQL_cheat_sheet.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
code-cheatsheet-yiru-base-r-cheat-sheet-550428b5,Code Cheatsheet Yiru Base R Cheat Sheet.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Base_R_cheat_sheet.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Base_R_cheat_sheet.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
code-cheatsheet-yiru-data-visualization-4c76c19d,Code Cheatsheet Yiru Data Visualization.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Data_visualization.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Data_visualization.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
code-cheatsheet-yiru-java-cheat-sheet-comprehensive-guide-a8c2150f,Code Cheatsheet Yiru Java Comprehensive Guide.pdf,Code_Cheatsheet,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_cheat_sheet_comprehensive_guide.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection/Code_Cheatsheet_Yiru_Java_cheat_sheet_comprehensive_guide.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
gp2-yiru-gp-526d301a,GP2 Yiru Outline.pdf,GP2,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/GP2/Yiru/GP2_Yiru_summary/GP2_Yiru_outline.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year2/GP2/Yiru/GP2_Yiru_summary/GP2_Yiru_outline.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
ibms3-yiru-experimental-design-ethics-ad7c5ce0,IBMS3 Yiru Experimental Design and Ethics.pdf,IBMS3,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_design_and_ethics.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_experimental_design_and_ethics.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
ibms3-yiru-ibms-dry-lab-85f0f986,IBMS3 Yiru Dry Lab Answer Summary.pdf,IBMS3,Yiru,individual_file,core,released,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_dry_lab_answer_summary.pdf,https://raw.githubusercontent.com/CHENyiru3/awesome_ZJE_resource/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes/IBMS3_Yiru_dry_lab_answer_summary.pdf,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
